Let the simulation run for a bit, and then press CTRL+C to get the
average runtimes (in milliseconds) of each of the state functions.
Initializing camera...  Done.
0011001 1 0
0000001 1 0
0001001 1 0
0101001 1 0
1111001 1 0
0011001 1 0
0000001 1 0
0000111 1 0
0000001 1 0
0000111 1 0
0101111 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0101111 1 0
0000111 1 0
0000001 1 0
0101001 1 0
0101001 1 0
0001001 1 0
0000001 1 0
1111001 1 0
0011001 1 0
0111001 1 0
0011001 1 0
0000001 1 0
0001001 1 0
0101001 1 0
0100001 1 0
0000001 1 0
0101001 1 0
0101001 1 0
0101111 1 0
0001111 1 0
0000111 1 0
0000001 1 0
0101001 1 0
0101111 1 0
0000111 1 0
0000001 1 0
0101001 1 0
0101111 1 0
0000111 1 0
0000001 1 0
0001001 1 0
0101001 1 0
0101111 1 0
0000111 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0001001 1 0
0000001 1 0
0000101 1 0
0000001 1 0
0000111 1 0
0000001 1 0
0000101 1 0
0000001 1 0
0001001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0000101 1 0
0000001 1 0
0000111 1 0
0000001 1 0
Exiting manual controls.
Final output: 00000000

Manual control mode exited successfully!

WAIT WAIT - Final region data: [0, 0, 0, 0, 0, 51]
CHASE CHASE - Final region data: [0, 0, 0, 0, 1, 0]
ACQUIRE ACQUIRE - Final region data: [0, 0, 0, 0, 1, 0]
FETCH FETCH - Final region data: [0, 0, 0, 0, 2, 0]
RETURN RETURN - Final region data: [0, 0, 0, 0, 0, 0]
WAIT WAIT - Final region data: [0, 0, 51, 0, 0, 0]
CHASE CHASE timed out. Return to waiting point
CHASE ERROR: Failed in CHASE. Returning to waiting point
Attempting to transition to RETURN from CHASE...
RETURN RETURN - Final region data: [0, 0, 0, 0, 1, 0]
WAIT WAIT - Final region data: [0, 50, 0, 0, 0, 0]
CHASE CHASE timed out. Return to waiting point
CHASE ERROR: Failed in CHASE. Returning to waiting point
Attempting to transition to RETURN from CHASE...
RETURN RETURN - Final region data: [0, 0, 0, 0, 1, 0]
WAIT WAIT - Final region data: [0, 0, 0, 0, 0, 50]
CHASE CHASE - Final region data: [0, 0, 0, 0, 1, 0]
ACQUIRE ACQUIRE - Final region data: [0, 0, 0, 0, 2, 0]
FETCH FETCH - Final region data: [0, 0, 0, 0, 3, 0]
RETURN RETURN - Final region data: [0, 0, 0, 0, 4, 0]
WAIT WAIT - Final region data: [0, 0, 0, 0, 0, 50]
CHASE CHASE - Final region data: [0, 0, 0, 0, 1, 0]
ACQUIRE ACQUIRE - Final region data: [0, 0, 0, 0, 2, 0]
FETCH FETCH - Final region data: [0, 0, 0, 0, 3, 0]
RETURN RETURN - Final region data: [0, 0, 0, 0, 0, 0]
WAIT WAIT - Final region data: [0, 0, 0, 0, 0, 51]
CHASE CHASE - Final region data: [0, 0, 0, 0, 1, 0]
ACQUIRE ACQUIRE - Final region data: [0, 0, 0, 0, 2, 0]
FETCH FETCH - Final region data: [0, 0, 0, 0, 1, 0]
RETURN RETURN - Final region data: [0, 0, 0, 0, 1, 0]
WAIT 
Halting program...  Done.
